name,url,address,location,city,cuisines,average_cost,rating,votes,online_order,book_table,rest_type,dish_liked,menu_item,listed_in_type
Byg Brewski Brewing Company,,"Behind MK Retail, Sarjapur Road, Bangalore",Sarjapur Road,Sarjapur Road,"Continental, North Indian, Italian, South Indian, Finger Food",1600.0,4.9,16832,True,True,Microbrewery,"Cocktails, Butter Chicken, Dahi Kebab, Rajma Chawal, Craft Beer, Teriyaki Fish, Buffalo Wings",,Delivery
Toit,,"298, Namma Metro Pillar 62, 100 Feet Road, Indiranagar, Bangalore",Indiranagar,Indiranagar,"Italian, American, Pizza",1500.0,4.7,14956,False,False,Microbrewery,"Beer, Pesto Pizza, Nachos, Cocktails, Beef Lasagna, Mai Thai, Tacos",,Drinks & nightlife
Truffles,,"28, 4th 'B' Cross, Koramangala 5th Block, Bangalore",Koramangala 5th Block,Koramangala 7th Block,"Cafe, American, Burger, Steak",900.0,4.7,14726,False,False,"Cafe, Casual Dining","Burgers, Pasta, Cocktails, American Cheese Burger, Chicken Salad, Pancakes, Chocolate Dessert",,Dine-out
AB's - Absolute Barbecues,,"90/4, 3rd Floor, Outer Ring Road, Munnekollaly Village, Marathahalli, Bangalore",Marathahalli,Marathahalli,"European, Mediterranean, North Indian, BBQ",1600.0,4.8,12121,False,True,Casual Dining,"Raj Kachori, Paan Kulfi, Churros, Butter Chicken, Momos, Bbq Prawns, Pudding",,Dine-out
The Black Pearl,,"105, 1st A Cross Road, Jyothi Nivas College Road, Koramangala 5th Block, Bangalore",Koramangala 5th Block,Koramangala 7th Block,"North Indian, European, Mediterranean",1400.0,4.7,10550,False,True,"Casual Dining, Bar","Chocolate Lollipop, Chocolate Biscuit, Fire Shots, Sangria, Chocolate Ganache, Paneer Makhani, Corn Fry",,Pubs and bars
Big Pitcher,,"LR Arcade,4121, Old Airport Road, Bangalore",Old Airport Road,Old Airport Road,"American, Continental, North Indian, Mediterranean",1800.0,4.6,9300,False,True,"Pub, Microbrewery","Beer, Cocktails, Tiramisu, Tawa Chicken, Mocktails, Chicken Satay, Sea Food",,Dine-out
Onesta,,"562, 8th Main, Koramangala 4th Block, Bangalore",Koramangala 4th Block,Koramangala 7th Block,"Pizza, Cafe, Italian",600.0,4.4,9085,True,True,"Casual Dining, Cafe","Berryblast, Gourmet Pizza, Mocktails, Ravioli, Bacon Pizza, Pasta, Prawn Pizza",,Desserts
Arbor Brewing Company,,"8, 3rd Floor, Allied Grande Plaza, Diagonally Opposite Garuda Mall, Magrath Road, Brigade Road, Bangalore",Brigade Road,Residency Road,"American, Continental",2000.0,4.5,8419,False,True,"Pub, Microbrewery","Kamikaze, Long Island Iced Tea, Pizza, Hefeweizen, Cocktails, Belgian Brew Beer, Chicken Bbq Wings",,Dine-out
Empire Restaurant,,"Next to BSNL, HAL 2nd Stage, 80 Feet Road, Indiranagar, Bangalore",Indiranagar,Old Airport Road,"North Indian, Mughlai, South Indian, Chinese",750.0,4.1,8304,True,False,Casual Dining,"Dum Biryani, Fiery Chicken, Butter Chicken, Pepper Chicken, Paneer Tikka Masala, Chicken Grill, Chilli Chicken",,Dine-out
Prost Brew Pub,,"749, 10th Main, 80 Feet Road, Koramangala 4th Block, Bangalore",Koramangala 4th Block,Koramangala 7th Block,"American, Continental, North Indian, Salad",1800.0,4.5,7871,False,True,"Pub, Microbrewery","Mango Cider, Cajun Potato, Nachos, Salads, Pizza, Wheat Beer, Pork Ribs",,Pubs and bars
Church Street Social,,"46/1, Cobalt Building, Church Street, Bangalore",Church Street,Residency Road,"American, North Indian, Chinese, Finger Food, Momos",1500.0,4.3,7584,True,False,Lounge,"Paneer Biryani, Cocktails, Mocktails, Nachos, Taco Soup, Pork Ribs, Hot Dog",,Delivery
Hoot,,"2034/69, Block 2, Kaikondrahalli, Varthur Hobli, Sarjapur Road, Bangalore",Sarjapur Road,Sarjapur Road,"Continental, Italian, North Indian",1400.0,4.2,7330,True,True,"Microbrewery, Pub","Sea Food, Craft Beer, Cocktails, Tempura Prawns, Dahi Ke Kebab, Tandoori Platter, Pasta",,Dine-out
The Black Pearl,,"20/7, Swamy Legato, Outer Ring Road, Kadubeesanahalli, Marathahalli, Bangalore",Marathahalli,Marathahalli,"North Indian, European, Mediterranean, BBQ",1500.0,4.8,7284,False,True,"Casual Dining, Bar","Dahipuri, Jal-jeera, Jalebi Rabri, Chicken Grill, Mutton Seekh Kabab, Mutton Curry, Chocolate Sandwich",,Buffet
Barbeque Nation,,"4005, HAL 2nd Stage, 100 Feet Road, Indiranagar, Bangalore",Indiranagar,Old Airport Road,"North Indian, European, Mediterranean, BBQ, Kebab",1600.0,4.7,7270,False,True,Casual Dining,"Mutton Curry, Tender Coconut Payasam, Mutton Seekh Kebab, Kulfi, Kheer, Chicken Biryani, Brownie",,Dine-out
Meghana Foods,,"124, Near Jyothi Nivas College, 1st Cross, KHB Colony, Koramangala 5th Block, Bangalore",Koramangala 5th Block,Koramangala 7th Block,"Biryani, Andhra, North Indian, Seafood",600.0,4.4,7238,True,False,Casual Dining,"Chicken Boneless Biryani, Egg Curry, Andhra Biryani, Hyderabadi Biryani, Paneer Biryani, Buttermilk, Sea Food",,Dine-out
Flechazo,,"9/1, 1st Floor, Above Surya Nissan, VRR Orchid, Doddanakkundi, Marathahalli, Bangalore",Marathahalli,Marathahalli,"Asian, Mediterranean, North Indian, BBQ",1400.0,4.7,7154,False,True,Casual Dining,"Pizza, Lauki Halwa, Keema Pav, Mutton Kebab, Crab Sushi, Appam, Mutton Chops",,Buffet
The Hole in the Wall Cafe,,"4, 8th Main Road, Koramangala 4th Block, Bangalore",Koramangala 4th Block,Koramangala 7th Block,"Cafe, American, Burger",600.0,4.6,7137,False,False,Cafe,"Waffles, Healthy Breakfast, English Breakfast, Pancakes, Burgers, Sandwiches, Mushroom Omelette",,Dine-out
